genes	enzymes	shortNames	MWs	pathways	actions	k_scores	enz_pos	unique	conectivity	groups	EV_type	OE	minUsage	maxUsage	pUsage	minUsageBio	maxUsageBio	pUsageBio	EUV_comparison	priority
YDR380W	Q06408	ARO10	71.38357	sce00360  Phenylalanine metabolism	OE	1000	8031	1	4	0	essential_tightly_const	2	1.35790994055285e-07	1.35791134686189e-07	1.35790994055285e-07	1.35790994055298e-09	1.35803511225308e-09	1.35790994055298e-09	up_distinct	1
YOL086C	P00330	ADH1	36.84874	sce00010  Glycolysis / Gluconeogenesis sce00071  Fatty acid degradation sce00350  Tyrosine metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	OE	1000	7184	1	21	0	production_opt	2	0	0.000302833356574464	8.60003127351549e-08	0	0.00026688242815478	8.60003127351635e-10	up_subset	2
YJR069C	P47119	HAM1	22.09268	sce00230  Purine metabolism	OE	1000	7823	1	16	0	production_opt	2	0	0.00367291186487596	7.68888864033364e-12	0	0.00323779025598505	0	up_subset	2
YNL316C	P32452	PHA2	38.22484	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	26.6847883470874	7529	1	5	0	essential_tightly_const	2	4.10895633197379e-08	4.10896048109489e-08	4.10895633197379e-08	2.48449915816765e-09	2.48453832119631e-09	2.48449915816764e-09	up_distinct	1
YPR060C	P32178	ARO7	29.7468	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	15.2749823250532	7504	1	2	0	essential_tightly_const	2	2.24083716817879e-07	2.24084599992422e-07	2.24083716817879e-07	2.17917180222107e-08	2.17934798290478e-08	2.17917180222107e-08	up_distinct	1
YBR249C	P32449	ARO4	39.74874	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	13.4215454204906	7527	1	12	0	production_opt_tight	2	0	6.67120869696676e-07	6.67118258025274e-07	0	7.26979478511575e-08	7.26927345770549e-08	up_subset	2
YGL148W	P28777	ARO2	40.83793	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	13.4215454204906	7481	1	3	0	essential_tightly_const	2	9.35471550890727e-05	9.35475215490612e-05	9.35471550890727e-05	1.01933929007696e-05	1.01941239360084e-05	1.01933929007695e-05	up_distinct	1
YDR127W	P08566	ARO1	174.75305	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	13.4215454202763	7298	1	14	0	essential_tightly_const	2	5.15286373333474e-06	5.15288390605022e-06	5.15286373333473e-06	5.61483292014533e-07	5.61523532625243e-07	5.61483292014536e-07	up_distinct	1
YOR095C	Q12189	RKI1	28.25777	sce00030  Pentose phosphate pathway sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	OE	3.31026597192245	8101	1	2	0	essential	2	4.7265212561732e-06	0.00287630708218253	4.72679213823115e-06	1.79075765956728e-06	0.00253318245115236	1.79197832932076e-06	up_overlaped	2
YHR163W	P38858	SOL3	27.78417	sce00030  Pentose phosphate pathway sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	OE	2.03548166353802	7695	1	5	0	production_opt_tight	2	0	4.67213895873225e-06	4.67078360344811e-06	0	2.64272349160739e-06	2.64207444284146e-06	up_subset	2
