genes	enzymes	shortNames	MWs	pathways	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority	minUsageBio	maxUsageBio	pUsageBio	enz_pos	performance	FC
YDR380W	Q06408	ARO10	71.38357	sce00360  Phenylalanine metabolism	OE	1000	tightly_const	2	1.3579099405541e-07	1.3579113459571e-07	1.3579099405541e-07	1	4	0	1	1.35790994055546e-09	1.35818556442834e-09	1.35790994055546e-09	8031	2.00008624843363	2.02189819196386
YNL316C	P32452	PHA2	38.22484	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	26.6847883470874	tightly_const	2	4.1089563319775e-08	4.10896048110224e-08	4.1089563319775e-08	1	5	0	1	2.48449915816841e-09	2.48458053185421e-09	2.48449915816841e-09	7529	0.999999999999995	2.02374447544561
YPR060C	P32178	ARO7	29.7468	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	15.2749823250532	tightly_const	2	2.24083716818078e-07	2.24084599423632e-07	2.24083716818078e-07	1	2	0	1	2.1791718022215e-08	2.17934798306576e-08	2.1791718022215e-08	7504	1.0010905352637	2.02446131027429
YGL148W	P28777	ARO2	40.83793	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	13.4215454204906	tightly_const	2	9.3547155089155e-05	9.35475215494791e-05	9.3547155089155e-05	1	3	0	1	1.01933929007712e-05	1.01941239366768e-05	1.01933929007712e-05	7481	1	2.02492411849191
YDR127W	P08566	ARO1	174.75305	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	13.4215454202763	tightly_const	2	5.15286373333927e-06	5.15288390607235e-06	5.15286373333927e-06	1	14	0	1	5.61483292014632e-07	5.61523559710934e-07	5.61483292014631e-07	7298	0.999999999999994	2.02538271477851
YOR095C	Q12189	RKI1	28.25777	sce00030  Pentose phosphate pathway sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	OE	3.31026597192246	essential	2	4.72652125590942e-06	0.00287630708220092	4.72679213822969e-06	1	2	0	1	1.79075765902369e-06	0.00253318245123482	1.79197833010122e-06	8101	0.999999999999997	2.02583713352514
YNL241C	P11412	ZWF1	57.5209	sce00030  Pentose phosphate pathway sce00480  Glutathione metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	OE	2.03548166353802	tightly_const	2	7.37991095080903e-08	7.38328347397508e-08	7.38114291309895e-08	1	5	0	1	4.16966010350668e-08	4.17623878468097e-08	4.17521570725311e-08	7331	0.999999999999991	2.02586488390121
YDL100C	Q12154	GET3	39.35328	sce00NNN  None	KD	0.262924647124674	unusable	0.5	0	1.9632525175674e-13	1.9632525175674e-13	1	4	0	1	0	3.9863082497624e-13	3.98630824975988e-13	8096	0.999999999999998	2.02589235826702
YBR218C	P32327	PYC2	130.16549	sce00020  Citrate cycle (TCA cycle) sce00620  Pyruvate metabolism sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	KD	0.254195552252135	subOpt_isoenz	0.5	0	4.78720716204069e-07	0	0	8	4	2	0	1.11985246691312e-06	0	7513	0.999999999999999	2.02677762134454
YDL052C	P33333	SLC1	33.88654	sce00561  Glycerolipid metabolism sce00564  Glycerophospholipid metabolism sce01110  Biosynthesis of secondary metabolites	KD	0.226383284804714	subOpt_isoenz	0.5	0	2.99161536185144e-06	0	1	28	0	2	0	6.07253057000317e-06	0	7574	0.999999999999997	2.02677762134455
YKL029C	P36013	MAE1	74.37529	sce00620  Pyruvate metabolism sce01200  Carbon metabolism	KO	0	subOpt_isoenz	0	0	1.06244982608483e-10	0	1	7	0	2	6.5891065415593e-08	6.64090582073191e-08	6.59530920655305e-08	7596	1.00048251159391	2.02677762134455
YOR377W	P40353	ATF1	61.03529	sce00NNN  None	KO	0	flux_leak	0	0	0	0	0	0	5	2	0	8.56470723143402e-13	0	7753	0.999999999999996	2.02677762134455
