genes	enzymes	shortNames	MWs	pathways	actions	k_scores	enz_pos	unique	conectivity	groups	EV_type	OE	minUsage	maxUsage	pUsage	priority
YBL015W	P32316	ACH1	58.71137	sce00620  Pyruvate metabolism	OE	1000	7511	1	7	0	essential	2	7.81879708407852e-06	0.000130131232387876	7.81937768968002e-06	1
YDL205C	P28789	HEM3	36.67427	sce00860  Porphyrin and chlorophyll metabolism sce01110  Biosynthesis of secondary metabolites	OE	1000	7482	1	4	0	tightly_const	2	0.000197169211337068	0.000197169211337309	0.000197169211337068	1
YDR044W	P11353	HEM13	37.71116	sce00860  Porphyrin and chlorophyll metabolism sce01110  Biosynthesis of secondary metabolites	OE	1000	7330	1	6	0	tightly_const	2	0.000724899854479275	0.000724899854480162	0.000724899854479275	1
YDR047W	P32347	HEM12	41.34866	sce00860  Porphyrin and chlorophyll metabolism sce01110  Biosynthesis of secondary metabolites	OE	1000	7515	1	4	0	tightly_const	2	0.000554277771227911	0.000554277771228589	0.000554277771227911	1
YDR232W	P09950	HEM1	59.36171	sce00260  Glycine, serine and threonine metabolism sce00860  Porphyrin and chlorophyll metabolism sce01110  Biosynthesis of secondary metabolites	OE	1000	7308	1	6	0	tightly_const	2	0.000149824466863366	0.00014982446686355	0.000149824466863366	1
YER014W	P40012	HEM14	59.70226	sce00860  Porphyrin and chlorophyll metabolism sce01110  Biosynthesis of secondary metabolites	OE	1000	7737	1	4	0	tightly_const	2	2.81353419651626e-06	2.81353419651682e-06	2.81353419651626e-06	1
YER170W	P26364	ADK2	25.19373	sce00230  Purine metabolism sce00730  Thiamine metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	OE	1000	7462	1	5	0	essential	2	4.8517783223533e-07	0.000285520776285159	4.85213834213384e-07	1
YGL040C	P05373	HEM2	37.73995	sce00860  Porphyrin and chlorophyll metabolism sce01110  Biosynthesis of secondary metabolites	OE	1000	7237	1	4	0	tightly_const	2	3.98331139130876e-05	3.98331139130956e-05	3.98331139130876e-05	1
YOR176W	P16622	HEM15	44.5956	sce00860  Porphyrin and chlorophyll metabolism sce01110  Biosynthesis of secondary metabolites	OE	1000	7374	1	4	0	tightly_const	2	4.1077510542105e-05	4.10775105421132e-05	4.1077510542105e-05	1
YOR278W	P06174	HEM4	30.91124	sce00860  Porphyrin and chlorophyll metabolism sce01110  Biosynthesis of secondary metabolites	OE	1000	7246	1	3	0	tightly_const	2	1.38462970368131e-08	1.38462970368159e-08	1.38462970368131e-08	1
YPL172C	P21592	COX10	52.14718	sce00190  Oxidative phosphorylation sce00860  Porphyrin and chlorophyll metabolism sce01110  Biosynthesis of secondary metabolites	OE	1000	7409	1	5	0	tightly_const	2	3.73429897495673e-06	3.73429897495748e-06	3.73429897495673e-06	1
YJL121C	P46969	RPE1	25.96689	sce00030  Pentose phosphate pathway sce00040  Pentose and glucuronate interconversions sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	OE	9.34816478583857	7809	1	2	0	essential	2	4.03035597700621e-07	0.000276951348712995	4.03110389637173e-07	1
YJL167W	P08524	ERG20	40.48289	sce00900  Terpenoid backbone biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	OE	9.01739431386239	7295	1	5	0	tightly_const	2	2.38607452166785e-05	2.38608224482929e-05	2.38607452166785e-05	1
YPL117C	P15496	IDI1	33.35113	sce00900  Terpenoid backbone biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	OE	9.01739431386239	7361	1	2	0	essential	2	4.3890051719001e-10	0.00021531868105498	4.3890051719001e-10	1
YML126C	P54839	ERG13	55.01283	sce00072  Synthesis and degradation of ketone bodies sce00280  Valine, leucine and isoleucine degradation sce00650  Butanoate metabolism sce00900  Terpenoid backbone biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	OE	9.01739431386238	7937	1	12	0	tightly_const	2	9.48656666732562e-05	9.48659737310824e-05	9.48656666732562e-05	1
YMR208W	P07277	ERG12	48.45901	sce00900  Terpenoid backbone biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce04146  Peroxisome	OE	9.01739431386238	7275	1	11	0	tightly_const	2	1.79770537556934e-06	1.79771119431841e-06	1.79770537556934e-06	1
YMR220W	P24521	ERG8	50.45437	sce00900  Terpenoid backbone biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	OE	9.01739431386238	7440	1	4	0	tightly_const	2	1.15792125101419e-05	1.15792499664761e-05	1.15792125101419e-05	1
YNR043W	P32377	MVD1	44.11544	sce00900  Terpenoid backbone biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	OE	9.01739431386238	7523	1	6	0	tightly_const	2	8.03454115702068e-06	8.03456716293867e-06	8.03454115702068e-06	1
