genes	enzymes	shortNames	MWs	pathways	actions	k_scores	enz_pos	unique	conectivity	groups	EV_type	OE	minUsage	maxUsage	pUsage	minUsageBio	maxUsageBio	pUsageBio	EUV_comparison	priority
YDL205C	P28789	HEM3	36.67427	sce00860  Porphyrin and chlorophyll metabolism sce01110  Biosynthesis of secondary metabolites	OE	1000	7482	1	4	0	essential_tightly_const	2	0.000197169211337068	0.000197169211337309	0.000197169211337068	1.97207552834411e-06	1.97246535061119e-06	1.97207552834411e-06	up_distinct	1
YDR044W	P11353	HEM13	37.71116	sce00860  Porphyrin and chlorophyll metabolism sce01110  Biosynthesis of secondary metabolites	OE	1000	7330	1	6	0	essential_tightly_const	2	0.000724899854479275	0.000724899854480162	0.000724899854479275	7.25040818403897e-06	7.25184137991829e-06	7.25040818403897e-06	up_distinct	1
YDR047W	P32347	HEM12	41.34866	sce00860  Porphyrin and chlorophyll metabolism sce01110  Biosynthesis of secondary metabolites	OE	1000	7515	1	4	0	essential_tightly_const	2	0.000554277771227911	0.000554277771228589	0.000554277771227911	5.54385556006015e-06	5.54495141987624e-06	5.54385556006015e-06	up_distinct	1
YDR232W	P09950	HEM1	59.36171	sce00260  Glycine, serine and threonine metabolism sce00860  Porphyrin and chlorophyll metabolism sce01110  Biosynthesis of secondary metabolites	OE	1000	7308	1	6	0	essential_tightly_const	2	0.000149824466863366	0.00014982446686355	0.000149824466863366	1.49853601708301e-06	1.49883223428497e-06	1.49853601708301e-06	up_distinct	1
YER014W	P40012	HEM14	59.70226	sce00860  Porphyrin and chlorophyll metabolism sce01110  Biosynthesis of secondary metabolites	OE	1000	7737	1	4	0	essential_tightly_const	2	2.81353419651626e-06	2.81353419651682e-06	2.81353419651626e-06	2.81408131598379e-08	2.81463757842538e-08	2.81408131598379e-08	up_distinct	1
YGL040C	P05373	HEM2	37.73995	sce00860  Porphyrin and chlorophyll metabolism sce01110  Biosynthesis of secondary metabolites	OE	1000	7237	1	4	0	essential_tightly_const	2	3.98331139130876e-05	3.98331139130956e-05	3.98331139130876e-05	3.98408598548648e-07	3.9848729949734e-07	3.98408598548648e-07	up_distinct	1
YMR319C	P40988	FET4	62.7913	sce00NNN  None	OE	1000	7774	1	3	0	production_opt_tight	2	0	1.03387762882147e-09	1.03387762882126e-09	0	1.04039474334126e-11	1.04019034189035e-11	up_subset	2
YOR176W	P16622	HEM15	44.5956	sce00860  Porphyrin and chlorophyll metabolism sce01110  Biosynthesis of secondary metabolites	OE	1000	7374	1	4	0	essential_tightly_const	2	4.1077510542105e-05	4.10775105421132e-05	4.1077510542105e-05	4.10854984690771e-07	4.10936144278002e-07	4.10854984690771e-07	up_distinct	1
YOR278W	P06174	HEM4	30.91124	sce00860  Porphyrin and chlorophyll metabolism sce01110  Biosynthesis of secondary metabolites	OE	1000	7246	1	3	0	essential_tightly_const	2	1.38462970368131e-08	1.38462970368159e-08	1.38462970368131e-08	1.38489895858042e-10	1.38511807878504e-10	1.38489895858042e-10	up_distinct	1
YPL172C	P21592	COX10	52.14718	sce00190  Oxidative phosphorylation sce00860  Porphyrin and chlorophyll metabolism sce01110  Biosynthesis of secondary metabolites	OE	1000	7409	1	5	0	essential_tightly_const	2	3.73429897495673e-06	3.73429897495748e-06	3.73429897495673e-06	3.73502514621469e-08	3.73576345260186e-08	3.73502514621469e-08	up_distinct	1
YER141W	P40086	COX15	54.65792	sce00190  Oxidative phosphorylation sce00860  Porphyrin and chlorophyll metabolism sce01110  Biosynthesis of secondary metabolites	OE	1000	7744	1	7	0	production_opt_tight	2	0	4.81388514134406e-07	4.81388514134309e-07	0	4.81577299960034e-09	4.81482124877643e-09	up_subset	2
YJL167W	P08524	ERG20	40.48289	sce00900  Terpenoid backbone biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	OE	9.01739431386238	7295	1	5	0	essential_tightly_const	2	2.38607452166785e-05	2.38608224482929e-05	2.38607452166785e-05	3.17755077978697e-06	3.17770219740041e-06	3.17755077978697e-06	up_distinct	1
YML126C	P54839	ERG13	55.01283	sce00072  Synthesis and degradation of ketone bodies sce00280  Valine, leucine and isoleucine degradation sce00650  Butanoate metabolism sce00900  Terpenoid backbone biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	OE	9.01739431386238	7937	1	12	0	essential_tightly_const	2	9.48656666732562e-05	9.48659737310824e-05	9.48656666732562e-05	1.26333218168689e-05	1.26339238237461e-05	1.26333218168689e-05	up_distinct	1
YMR208W	P07277	ERG12	48.45901	sce00900  Terpenoid backbone biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce04146  Peroxisome	OE	9.01739431386238	7275	1	11	0	essential_tightly_const	2	1.79770537556934e-06	1.79771119431841e-06	1.79770537556934e-06	2.39401580549744e-07	2.39412981245944e-07	2.39401580549744e-07	up_distinct	1
YMR220W	P24521	ERG8	50.45437	sce00900  Terpenoid backbone biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	OE	9.01739431386238	7440	1	4	0	essential_tightly_const	2	1.15792125101419e-05	1.15792499664761e-05	1.15792125101419e-05	1.54201117386736e-06	1.54208465425191e-06	1.54201117386736e-06	up_distinct	1
